秋,80941101,I4000001,100001,,,,,80,9411,国際学研究科,国際学専攻（博士前期課程）,,指導教員名０１,研究テーマ０１,Ⅳ期一般,Ⅳ期,奨学金なし,Ⅳ期一般選抜,,テスト０１　ヨンキ,てすと０１　四期,TEST01 YONKI,,,,男,20000101,国名０１,母語０１,在留資格０１,abc.def@hoge.com.01,100-0001,東京都なにがし１－２－３　テスト荘０１,0312340001,09055550001,,,,01250F,北海道,おといねっぷ０１,普通科,,高校課程,201809,日本語学校名０１,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110001,720106110001,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-01,2018年 5月28日（月）,
秋,81941202,I4000002,100002,,,,,81,9412,国際学研究科,国際協力専攻（修士課程）,,指導教員名０２,研究テーマ０２,Ⅳ期一般（学而事人奨学生）,Ⅳ期,学而事人奨学生,Ⅳ期一般選抜（学而事人奨学生）,,テスト０２　ヨンキ,てすと０２　四期,TEST02 YONKI,,,,男,20000102,国名０２,母語０２,在留資格０２,abc.def@hoge.com.02,100-0002,東京都なにがし１－２－３　テスト荘０２,0312340002,09055550002,,,,01250F,北海道,おといねっぷ０２,普通科,,高校課程,201809,日本語学校名０２,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110002,720106110002,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-02,2018年 5月28日（月）,
秋,82941303,I4000003,100003,,,,,82,9413,経営学研究科,経営学専攻（修士課程）,,指導教員名０３,研究テーマ０３,Ⅳ期一般（私費留学生奨学生）,Ⅳ期,私費留学生奨学生,Ⅳ期一般選抜（私費留学生奨学生）,,テスト０３　ヨンキ,てすと０３　四期,TEST03 YONKI,,,,男,20000103,国名０３,母語０３,在留資格０３,abc.def@hoge.com.03,100-0003,東京都なにがし１－２－３　テスト荘０３,0312340003,09055550003,,,,01250F,北海道,おといねっぷ０３,普通科,,高校課程,201809,日本語学校名０３,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110003,720106110003,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-03,2018年 5月28日（月）,
秋,83942104,I4000004,100004,,,,,83,9421,言語教育研究科,日本語教育専攻（修士課程）,,指導教員名０４,研究テーマ０４,Ⅳ期社会人,Ⅳ期,奨学金なし,Ⅳ期社会人選抜,,テスト０４　ヨンキ,てすと０４　四期,TEST04 YONKI,,,,男,20000104,国名０４,母語０４,在留資格０４,abc.def@hoge.com.04,100-0004,東京都なにがし１－２－３　テスト荘０４,0312340004,09055550004,,,,01250F,北海道,おといねっぷ０４,普通科,,高校課程,201809,日本語学校名０４,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110004,720106110004,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-04,2018年 5月28日（月）,
秋,84942205,I4000005,100005,,,,,84,9422,言語教育研究科,英語教育専攻（修士課程）,,指導教員名０５,研究テーマ０５,Ⅳ期社会人（学而事人奨学生）,Ⅳ期,学而事人奨学生,Ⅳ期社会人選抜（学而事人奨学生）,,テスト０５　ヨンキ,てすと０５　四期,TEST05 YONKI,,,,男,20000105,国名０５,母語０５,在留資格０５,abc.def@hoge.com.05,100-0005,東京都なにがし１－２－３　テスト荘０５,0312340005,09055550005,,,,01250F,北海道,おといねっぷ０５,普通科,,高校課程,201809,日本語学校名０５,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110005,720106110005,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-05,2018年 5月28日（月）,
秋,85942306,I4000006,100006,,,,,85,9423,心理学研究科,臨床心理学専攻（修士課程）,,指導教員名０６,研究テーマ０６,Ⅳ期社会人（私費留学生奨学生）,Ⅳ期,私費留学生奨学生,Ⅳ期社会人選抜（私費留学生奨学生）,,テスト０６　ヨンキ,てすと０６　四期,TEST06 YONKI,,,,男,20000106,国名０６,母語０６,在留資格０６,abc.def@hoge.com.06,100-0006,東京都なにがし１－２－３　テスト荘０６,0312340006,09055550006,,,,01250F,北海道,おといねっぷ０６,普通科,,高校課程,201809,日本語学校名０６,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110006,720106110006,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-06,2018年 5月28日（月）,
秋,86943107,I4000007,100007,,,,,86,9431,心理学研究科,健康心理学専攻（修士課程）,,指導教員名０７,研究テーマ０７,Ⅳ期留学生(語学資格なし),Ⅳ期,奨学金なし,Ⅳ期留学生(語学資格なし)選抜,,テスト０７　ヨンキ,てすと０７　四期,TEST07 YONKI,,,,男,20000107,国名０７,母語０７,在留資格０７,abc.def@hoge.com.07,100-0007,東京都なにがし１－２－３　テスト荘０７,0312340007,09055550007,,,,01250F,北海道,おといねっぷ０７,普通科,,高校課程,201809,日本語学校名０７,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110007,720106110007,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-07,2018年 5月28日（月）,
秋,89943208,I4000008,100008,,,,,89,9432,老年学研究科,老年学専攻（博士前期課程）,,指導教員名０８,研究テーマ０８,Ⅳ期留学生(語学資格なし・学而事人奨学生）,Ⅳ期,学而事人奨学生,Ⅳ期留学生(語学資格なし)選抜（学而事人奨学生）,,テスト０８　ヨンキ,てすと０８　四期,TEST08 YONKI,,,,男,20000108,国名０８,母語０８,在留資格０８,abc.def@hoge.com.08,100-0008,東京都なにがし１－２－３　テスト荘０８,0312340008,09055550008,,,,01250F,北海道,おといねっぷ０８,普通科,,高校課程,201809,日本語学校名０８,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110008,720106110008,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-08,2018年 5月28日（月）,
秋,80943309,I4000009,100009,,,,,80,9433,国際学研究科,国際学専攻（博士前期課程）,,指導教員名０９,研究テーマ０９,Ⅳ期留学生(語学資格なし・私費留学生奨学生）,Ⅳ期,私費留学生奨学生,Ⅳ期留学生(語学資格なし)選抜（私費留学生奨学生）,,テスト０９　ヨンキ,てすと０９　四期,TEST09 YONKI,,,,男,20000109,国名０９,母語０９,在留資格０９,abc.def@hoge.com.09,100-0009,東京都なにがし１－２－３　テスト荘０９,0312340009,09055550009,,,,01250F,北海道,おといねっぷ０９,普通科,,高校課程,201809,日本語学校名０９,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110009,720106110009,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-09,2018年 5月28日（月）,
秋,81944110,I4000010,100010,,,,,81,9441,国際学研究科,国際協力専攻（修士課程）,,指導教員名１０,研究テーマ１０,Ⅳ期留学生(語学資格あり),Ⅳ期,奨学金なし,Ⅳ期留学生(語学資格あり)選抜,,テスト１０　ヨンキ,てすと１０　四期,TEST10 YONKI,,,,男,20000110,国名１０,母語１０,在留資格１０,abc.def@hoge.com.10,100-0010,東京都なにがし１－２－３　テスト荘１０,0312340010,09055550010,,,,01250F,北海道,おといねっぷ１０,普通科,,高校課程,201809,日本語学校名１０,201808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710106110010,720106110010,日本語能力試験（JLPT）=N1;実用日本語検定（J.TEST）=1234;日本留学試験（EJU）=1234;日本の大学の卒業者=1,,,,,,,,,,,,,,,,,,,JEP-TEST-10,2018年 5月28日（月）,
